   7,       rasm_perm_cmov,       base,    1000,    random_load_test_u64x8,     212703240,         a3
   7,       rasm_perm_cmov,       base,    1000,      random_swap_test_u64,     156578366,   cb709f06
   7,       rasm_perm_cmov,       base,    1000,       random_swap_test_u8,     211155942,   2f427c26
   7,       rasm_perm_cmov,       base,    1000,       linear_swap_test_u8,     216086436,   9df829d0
   7,       rasm_perm_cmov,       base,    1000,                 qsort_u32,       6101972,   3999e051
   7,       rasm_perm_cmov,       base,    1000,                 radixsort,       6026972,   c6d2ce51
   7,     rasm_perm_indjmp,       base,    1000,                      TEST,          TICK,       HASH
   7,     rasm_perm_indjmp,       base,    1000,      random_load_test_u64,      36656060,   8222c97a
   7,     rasm_perm_indjmp,       base,    1000,      linear_load_test_u64,      33799290,    dcee904
   7,     rasm_perm_indjmp,       base,    1000,     random_store_test_u64,      77990540,   74483ee5
   7,     rasm_perm_indjmp,       base,    1000,     linear_store_test_u64,      36371694,   68cc5a06
   7,     rasm_perm_indjmp,       base,    1000,    random_load_test_u64x8,     212601388,         a3
   7,     rasm_perm_indjmp,       base,    1000,      random_swap_test_u64,     148953774,   cb709f06
   7,     rasm_perm_indjmp,       base,    1000,       random_swap_test_u8,     206416880,   2f427c26
   7,     rasm_perm_indjmp,       base,    1000,       linear_swap_test_u8,     145628604,   9df829d0
   7,     rasm_perm_indjmp,       base,    1000,                 qsort_u32,       5099138,   3999e051
   7,     rasm_perm_indjmp,       base,    1000,                 radixsort,       4949988,   c6d2ce51
   8,          rasm_indjmp,       base,    1000,                      TEST,          TICK,       HASH
   8,          rasm_indjmp,       base,    1000,      random_load_test_u64,      73331548,   8222c97a
   8,          rasm_indjmp,       base,    1000,      linear_load_test_u64,      34065600,    dcee904
   8,          rasm_indjmp,       base,    1000,     random_store_test_u64,      78044262,   74483ee5
   8,          rasm_indjmp,       base,    1000,     linear_store_test_u64,      36656048,   68cc5a06
   8,          rasm_indjmp,       base,    1000,    random_load_test_u64x8,     217814432,         a3
   8,          rasm_indjmp,       base,    1000,      random_swap_test_u64,     208946408,   cb709f06
   8,          rasm_indjmp,       base,    1000,       random_swap_test_u8,     243147440,   2f427c26
   8,          rasm_indjmp,       base,    1000,       linear_swap_test_u8,     122843874,   9df829d0
   8,          rasm_indjmp,       base,    1000,                 qsort_u32,       4434188,   3999e051
   8,          rasm_indjmp,       base,    1000,                 radixsort,       3978156,   c6d2ce51
   8,            rasm_cmov,       base,    1000,                      TEST,          TICK,       HASH
   8,            rasm_cmov,       base,    1000,      random_load_test_u64,      83192328,   8222c97a
   8,            rasm_cmov,       base,    1000,      linear_load_test_u64,      81586124,    dcee904
   8,            rasm_cmov,       base,    1000,     random_store_test_u64,      83304280,   74483ee5
   8,            rasm_cmov,       base,    1000,     linear_store_test_u64,      82589606,   68cc5a06
   8,            rasm_cmov,       base,    1000,    random_load_test_u64x8,     482890042,         a3
   8,            rasm_cmov,       base,    1000,      random_swap_test_u64,     229905790,   cb709f06
   8,            rasm_cmov,       base,    1000,       random_swap_test_u8,     366363688,   2f427c26
   8,            rasm_cmov,       base,    1000,       linear_swap_test_u8,     357800746,   9df829d0
   8,            rasm_cmov,       base,    1000,                 qsort_u32,       9515590,   3999e051
   8,            rasm_cmov,       base,    1000,                 radixsort,       9619332,   c6d2ce51
   8,       rasm_perm_cmov,       base,    1000,                      TEST,          TICK,       HASH
   8,       rasm_perm_cmov,       base,    1000,      random_load_test_u64,      34933404,   8222c97a
   8,       rasm_perm_cmov,       base,    1000,      linear_load_test_u64,      33154638,    dcee904
