                          base,     512,        all, HEADER,                      TEST,          TICK,  HASH,        REP
                           aes,    8192,        all, RESULT,                 radixsort,     532785208,    d7,        100
                           aes,   10240,        all, RESULT,             binsearch_u64,         89000,    7c,        100
                           aes,   10240,        all, RESULT,                  dijkstra,      97563004,    bb,        100
                           aes,   10240,        all, RESULT,                      hist,      51931230,    c6,        100
                           aes,   10240,        all, RESULT,                    matmul,     805251138,    3c,        100
                           aes,   10240,        all, RESULT,                 qsort_u32,     953010596,    e2,        100
                           aes,   10240,        all, RESULT,                 qsort_u64,     346571440,    e2,        100
                           aes,   10240,        all, RESULT,                 radixsort,     665121044,    e2,        100
                           aes,   12288,        all, RESULT,             binsearch_u64,         94002,    68,        100
                           aes,   12288,        all, RESULT,                  dijkstra,     118476192,    ef,        100
                           aes,   12288,        all, RESULT,                      hist,      62336322,    ee,        100
                           aes,   12288,        all, RESULT,                    matmul,     976718228,    4a,        100
                           aes,   12288,        all, RESULT,                 qsort_u32,    1175878982,    1c,        100
                           aes,   12288,        all, RESULT,                 qsort_u64,     418122630,    9c,        100
                           aes,   12288,        all, RESULT,                 radixsort,     799292440,    1c,        100
                           aes,   14336,        all, RESULT,             binsearch_u64,         92700,    bb,        100
                           aes,   14336,        all, RESULT,                  dijkstra,     136210262,    cd,        100
                           aes,   14336,        all, RESULT,                      hist,      72714618,    29,        100
                           aes,   14336,        all, RESULT,                    matmul,    1276157276,    c3,        100
                           aes,   14336,        all, RESULT,                 qsort_u32,    1406152322,    e7,        100
                           aes,   14336,        all, RESULT,                 qsort_u64,     497878124,    67,        100
                           aes,   14336,        all, RESULT,                 radixsort,     932186374,    e7,        100
                           aes,   16384,        all, RESULT,             binsearch_u64,         95556,    70,        100
                           aes,   16384,        all, RESULT,                  dijkstra,     155564740,    85,        100
                           aes,   16384,        all, RESULT,                      hist,      83146916,    da,        100
                           aes,   16384,        all, RESULT,                    matmul,    1506268794,    fb,        100
                           aes,   16384,        all, RESULT,                 qsort_u32,    1622513634,    ef,        100
                           aes,   16384,        all, RESULT,                 qsort_u64,     590429854,    6f,        100
                           aes,   16384,        all, RESULT,                 radixsort,    1065681942,    6f,        100
                           aes,   20480,        all, RESULT,             binsearch_u64,        100730,    79,        100
                           aes,   20480,        all, RESULT,                  dijkstra,     197766642,    ee,        100
                           aes,   20480,        all, RESULT,                      hist,     103893352,    ac,        100
                           aes,   20480,        all, RESULT,                    matmul,    2200212340,    d7,        100
                           aes,   20480,        all, RESULT,                 qsort_u32,    2092297084,     6,        100
                           aes,   20480,        all, RESULT,                 qsort_u64,     762217504,    86,        100
                           aes,   20480,        all, RESULT,                 radixsort,    1330763356,    86,        100
                           aes,   24576,        all, RESULT,             binsearch_u64,         98546,    ad,        100
                           aes,   24576,        all, RESULT,                  dijkstra,     238504876,    69,        100
                           aes,   24576,        all, RESULT,                      hist,     124743040,    68,        100
                           aes,   24576,        all, RESULT,                    matmul,    2888128154,    60,        100
                           aes,   24576,        all, RESULT,                 qsort_u32,    2505878748,    d9,        100
                           aes,   24576,        all, RESULT,                 qsort_u64,     938981332,    d9,        100
                           aes,   24576,        all, RESULT,                 radixsort,    1598208628,    59,        100
                           aes,   28672,        all, RESULT,             binsearch_u64,        105606,    9d,        100
                           aes,   28672,        all, RESULT,                  dijkstra,     277230210,    60,        100
                           aes,   28672,        all, RESULT,                      hist,     152446988,    b1,        100
                           aes,   28672,        all, RESULT,                    matmul,    3507280358,    d5,        100
                           aes,   28672,        all, RESULT,                 qsort_u32,    3089203792,    59,        100
                           aes,   28672,        all, RESULT,                 qsort_u64,    1101868942,    59,        100
                           aes,   28672,        all, RESULT,                 radixsort,    1871143332,    59,        100
                           aes,   32768,        all, RESULT,             binsearch_u64,        104482,    c7,        100
                           aes,   32768,        all, RESULT,                  dijkstra,     318256528,    9a,        100
                           aes,   32768,        all, RESULT,                      hist,     166274058,    d6,        100
                           aes,   32768,        all, RESULT,                    matmul,    4410953550,    da,        100
                           aes,   32768,        all, RESULT,                 qsort_u32,    3549686120,    fd,        100
                           aes,   32768,        all, RESULT,                 qsort_u64,    1293005184,    fd,        100
